left,right,metric,class_id,class_difference,full_point,leave_one_class_out_point,point_change,estimand
aligned_donor_source,aligned_isotropic_source,normalized_regret,131,-0.05049780027908275,-0.03685916515811938,-0.03594992281672182,0.0009092423413975606,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,224,-0.036161038294203446,-0.03685916515811938,-0.03690570694904711,-4.65417909277302e-05,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,301,-0.05915524782140691,-0.03685916515811938,-0.03537275964723354,0.0014864055108858368,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,345,-0.04935594098611566,-0.03685916515811938,-0.03602604676958629,0.0008331183885330884,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,384,-0.029143254504213338,-0.03685916515811938,-0.03737355920171311,-0.0005143940435937341,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,462,-0.022677485208850073,-0.03685916515811938,-0.03780461048807067,-0.0009454453299512916,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,511,-0.03392099747482967,-0.03685916515811938,-0.037055043003672024,-0.0001958778455526458,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,568,-0.028046700762988326,-0.03685916515811938,-0.037446662784461446,-0.0005874976263420678,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,679,-0.040899291710236006,-0.03685916515811938,-0.03658982338797827,0.00026934177014110994,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,712,-0.04220813721039064,-0.03685916515811938,-0.036502567021301294,0.0003565981368180843,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,780,-0.041185809037669434,-0.03685916515811938,-0.03657072223281604,0.00028844292530334076,descriptive_influence_only_no_class_removed_from_primary
