class_id,policy,metric,value
85,aligned_donor_source,oracle_hit,0.8981481481481481
131,aligned_donor_source,oracle_hit,0.8981481481481481
224,aligned_donor_source,oracle_hit,0.9074074074074073
301,aligned_donor_source,oracle_hit,0.9074074074074073
345,aligned_donor_source,oracle_hit,0.8796296296296295
384,aligned_donor_source,oracle_hit,0.8796296296296297
462,aligned_donor_source,oracle_hit,0.8796296296296297
511,aligned_donor_source,oracle_hit,0.8981481481481481
568,aligned_donor_source,oracle_hit,0.9074074074074073
679,aligned_donor_source,oracle_hit,0.9259259259259258
712,aligned_donor_source,oracle_hit,0.8888888888888888
780,aligned_donor_source,oracle_hit,0.8796296296296295
870,aligned_donor_source,oracle_hit,0.8796296296296297
888,aligned_donor_source,oracle_hit,0.9444444444444444
975,aligned_donor_source,oracle_hit,0.9444444444444443
19,aligned_isotropic_source,absolute_regret,0.2792023404422259
85,aligned_isotropic_source,absolute_regret,1.7407398050816316
131,aligned_isotropic_source,absolute_regret,0.094436592116907
224,aligned_isotropic_source,absolute_regret,0.04011732229121993
301,aligned_isotropic_source,absolute_regret,0.2779249211246304
345,aligned_isotropic_source,absolute_regret,0.03315360938705467
384,aligned_isotropic_source,absolute_regret,0.0174286223258217
462,aligned_isotropic_source,absolute_regret,0.12651611684917438
511,aligned_isotropic_source,absolute_regret,0.13246558458775695
568,aligned_isotropic_source,absolute_regret,0.05347028911789124
679,aligned_isotropic_source,absolute_regret,0.20588647325723478
712,aligned_isotropic_source,absolute_regret,0.04237291928809092
780,aligned_isotropic_source,absolute_regret,0.12371180372072234
870,aligned_isotropic_source,absolute_regret,0.06473675458233433
888,aligned_isotropic_source,absolute_regret,0.45443307155205215
975,aligned_isotropic_source,absolute_regret,0.544999308787653
19,aligned_isotropic_source,normalized_regret,0.04282098790307245
85,aligned_isotropic_source,normalized_regret,0.06544944746360554
131,aligned_isotropic_source,normalized_regret,0.09197934392412928
224,aligned_isotropic_source,normalized_regret,0.08653310207594715
301,aligned_isotropic_source,normalized_regret,0.0851568205189577
345,aligned_isotropic_source,normalized_regret,0.0894921127873732
384,aligned_isotropic_source,normalized_regret,0.08760735497053937
462,aligned_isotropic_source,normalized_regret,0.11352450385973564
511,aligned_isotropic_source,normalized_regret,0.09746608471347001
568,aligned_isotropic_source,normalized_regret,0.08410627776142861
679,aligned_isotropic_source,normalized_regret,0.08348285939916525
712,aligned_isotropic_source,normalized_regret,0.1235163443767085
780,aligned_isotropic_source,normalized_regret,0.10058211447237805
870,aligned_isotropic_source,normalized_regret,0.10812825087425787
888,aligned_isotropic_source,normalized_regret,0.09197917699972573
975,aligned_isotropic_source,normalized_regret,0.09317139534327172
19,aligned_isotropic_source,oracle_hit,0.9166666666666666
85,aligned_isotropic_source,oracle_hit,0.8703703703703705
131,aligned_isotropic_source,oracle_hit,0.8425925925925926
224,aligned_isotropic_source,oracle_hit,0.8796296296296295
301,aligned_isotropic_source,oracle_hit,0.7962962962962963
345,aligned_isotropic_source,oracle_hit,0.8425925925925926
384,aligned_isotropic_source,oracle_hit,0.8425925925925926
462,aligned_isotropic_source,oracle_hit,0.861111111111111
511,aligned_isotropic_source,oracle_hit,0.8518518518518519
568,aligned_isotropic_source,oracle_hit,0.8611111111111112
679,aligned_isotropic_source,oracle_hit,0.8611111111111112
712,aligned_isotropic_source,oracle_hit,0.824074074074074
780,aligned_isotropic_source,oracle_hit,0.8611111111111112
870,aligned_isotropic_source,oracle_hit,0.8703703703703705
888,aligned_isotropic_source,oracle_hit,0.8611111111111112
975,aligned_isotropic_source,oracle_hit,0.8333333333333334
