family,set_id,policy,metric,units,valid_units,mean,median,Q90,Q95,Q99,max,estimand,unit,source_observations_sha256
primary,primary_494f26df6416,energy,absolute_regret,64,64,0.8073725761380706,0.0795967593660283,1.6372752697801491,2.2180317014750273,10.594241043075279,18.69596083738753,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,energy,normalized_regret,64,64,0.38399680327826013,0.18161973967456585,1.0,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,hybrid,absolute_regret,64,64,0.24046370877653936,0.0,0.29923130032530476,1.2067976995490852,3.4831223986048325,5.59857749839296,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,hybrid,normalized_regret,64,64,0.23541871984982832,0.0,1.0,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,latest_stage,absolute_regret,64,64,0.15573932993431822,0.011786457145774407,0.3332308870955201,0.8554680824701688,1.5370832334219537,2.1035272921074153,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,latest_stage,normalized_regret,64,64,0.2835135621931077,0.01274792915708297,1.0,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,pure_G,absolute_regret,64,64,0.15573932993431822,0.011786457145774407,0.3332308870955201,0.8554680824701688,1.5370832334219537,2.1035272921074153,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,pure_G,normalized_regret,64,64,0.2835135621931077,0.01274792915708297,1.0,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,stage_position_only,absolute_regret,64,64,0.15573932993431822,0.011786457145774407,0.3332308870955201,0.8554680824701688,1.5370832334219537,2.1035272921074153,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,stage_position_only,normalized_regret,64,64,0.2835135621931077,0.01274792915708297,1.0,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,uniform_random_expected,absolute_regret,64,64,1.707816573236134,0.27956618514404435,3.5935557074107876,6.5529822658058805,20.771182028009473,36.83944987502993,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,uniform_random_expected,normalized_regret,64,64,0.42031280542832783,0.3965913865194671,0.541052776287573,0.5545221236442769,0.6135443363405304,0.6549675609816664,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,candidate_B,absolute_regret,64,64,0.015708898166519714,0.0,0.0130419201901546,0.01622573242644574,0.33642111551496195,0.7670506094364526,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,candidate_B,normalized_regret,64,64,0.19723156572029166,0.0,1.0,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,constant,absolute_regret,64,64,0.0018328482153349148,0.0,0.003958337831772952,0.012341901892772702,0.020009401158017127,0.026269262583412,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,constant,normalized_regret,64,64,0.1587721835108713,0.0,0.8919935795941527,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,energy,absolute_regret,64,64,0.06574857359761183,0.007959338358290324,0.0789692818275157,0.18611175595888133,1.2705533670859748,2.1278688733540894,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,energy,normalized_regret,64,64,0.39956451041415647,0.26090207443814584,1.0,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,hybrid,absolute_regret,64,64,0.015708898166519714,0.0,0.0130419201901546,0.01622573242644574,0.33642111551496195,0.7670506094364526,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,hybrid,normalized_regret,64,64,0.19723156572029166,0.0,1.0,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,latest_stage,absolute_regret,64,64,0.0018328482153349148,0.0,0.003958337831772952,0.012341901892772702,0.020009401158017127,0.026269262583412,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,latest_stage,normalized_regret,64,64,0.1587721835108713,0.0,0.8919935795941527,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
