family,policy,metric,class_id,value,sets,seeds,unit,estimand,source_observations_sha256
primary,constant,absolute_regret,19,0.030924617916964242,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,85,1.741789106381054,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,131,0.02052700123928996,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,224,0.03441089336783174,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,301,0.2524034304778764,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,345,0.0064183657533250105,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,384,0.0056217186773358015,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,462,0.0977531845849334,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,511,0.033872922669719266,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,568,0.08594541745260274,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,679,0.335434161177422,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,712,0.032349617378228834,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,780,0.025069029803961997,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,870,0.014412818423113337,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,888,0.33331949245684533,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,975,0.32261677283323487,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,19,0.03747806425617908,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,85,0.0504842368663969,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,131,0.04446546168653617,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,224,0.037743763823382126,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,301,0.04829598637468486,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,345,0.036715625956666324,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,384,0.03167959545051868,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,462,0.04660825051320015,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,511,0.05393010719731353,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,568,0.039165776714059804,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,679,0.06402761280068846,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,712,0.04494941854765785,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,780,0.03965120142330611,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,870,0.05832517636624998,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,888,0.06289913515969801,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,975,0.03985406247266924,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,19,0.9259259259259259,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,85,0.9074074074074073,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,131,0.8981481481481481,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,224,0.9259259259259258,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,301,0.8888888888888888,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,345,0.8518518518518519,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,384,0.9166666666666667,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,462,0.9444444444444444,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,511,0.8888888888888888,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,568,0.8981481481481481,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,679,0.8981481481481481,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,712,0.9166666666666666,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,780,0.9074074074074074,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,870,0.8796296296296297,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,888,0.8703703703703703,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,975,0.9166666666666666,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,19,0.42029250697483345,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,85,1.8639562141284765,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,131,0.07701112086850047,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,224,0.05133051011868122,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,301,0.30658560294474013,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
