family,class_id,seed,set_id,policy,selected,selected_stage,oracle_stage,candidate_count,saving_bits,selected_probability_json,unit,estimand,oracle,absolute_regret,normalized_regret,resolved,risk_range,range_tau,selected_Y,oracle_Y,oracle_hit,all_minima_hit,source_observations_sha256
primary,462,81,primary_6c830b5fb730,hybrid,input_patch_projection_stage15_w6,15,15,3,184320,"{""input_patch_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w6,0.0,0.0,True,0.08366647738940357,1e-12,0.00349420600286976,0.00349420600286976,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_6c830b5fb730,latest_stage,input_patch_projection_stage15_w6,15,15,3,184320,"{""input_patch_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w6,0.0,0.0,True,0.08366647738940357,1e-12,0.00349420600286976,0.00349420600286976,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_6c830b5fb730,stage_position_only,input_patch_projection_stage15_w6,15,15,3,184320,"{""input_patch_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w6,0.0,0.0,True,0.08366647738940357,1e-12,0.00349420600286976,0.00349420600286976,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_6c830b5fb730,pure_G,input_patch_projection_stage15_w6,15,15,3,184320,"{""input_patch_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w6,0.0,0.0,True,0.08366647738940357,1e-12,0.00349420600286976,0.00349420600286976,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_6c830b5fb730,uniform_random_expected,,,15,3,184320,"{""input_patch_projection_stage10_w6"": 0.3333333333333333, ""input_patch_projection_stage15_w6"": 0.3333333333333333, ""input_patch_projection_stage4_w6"": 0.3333333333333333}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w6,0.03186531534561846,0.38086120439025717,True,0.08366647738940357,1e-12,0.03535952134848822,0.00349420600286976,0.3333333333333333,0.3333333333333333,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_705fa28644fa,constant,output_conditioning_projection_stage15_w6,15,15,3,26542080,"{""output_conditioning_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w6,0.0,0.0,True,0.038412753146818794,1e-12,0.0014761694115605908,0.0014761694115605908,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_705fa28644fa,energy,output_conditioning_projection_stage15_w6,15,15,3,26542080,"{""output_conditioning_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w6,0.0,0.0,True,0.038412753146818794,1e-12,0.0014761694115605908,0.0014761694115605908,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_705fa28644fa,candidate_B,output_conditioning_projection_stage15_w6,15,15,3,26542080,"{""output_conditioning_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w6,0.0,0.0,True,0.038412753146818794,1e-12,0.0014761694115605908,0.0014761694115605908,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_705fa28644fa,hybrid,output_conditioning_projection_stage15_w6,15,15,3,26542080,"{""output_conditioning_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w6,0.0,0.0,True,0.038412753146818794,1e-12,0.0014761694115605908,0.0014761694115605908,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_705fa28644fa,latest_stage,output_conditioning_projection_stage15_w6,15,15,3,26542080,"{""output_conditioning_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w6,0.0,0.0,True,0.038412753146818794,1e-12,0.0014761694115605908,0.0014761694115605908,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_705fa28644fa,stage_position_only,output_conditioning_projection_stage15_w6,15,15,3,26542080,"{""output_conditioning_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w6,0.0,0.0,True,0.038412753146818794,1e-12,0.0014761694115605908,0.0014761694115605908,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
