summary_type,group_name,stage_index,weight_bits,cell_count,median,mean,interquartile_range,interdecile_range,positive_cell_count,negative_cell_count,tangent_supported_cell_count,high_curvature_cell_count
group_x_bit,mlp_down_all_blocks,,6.0,3,2.003632618612248,2.0284156008338523,0.5884476068172138,0.9415161709075415,3,0,3,1
group_x_bit,mlp_down_all_blocks,,8.0,3,1.1127708138789782,1.2146106652791129,1.3177450053343542,2.1083920085349668,2,1,3,1
group_x_bit,mlp_up_gate_all_blocks,,4.0,3,1.6310410356349678,2.4489658898750157,2.4273925628611566,3.8838281005778508,3,0,3,2
group_x_bit,mlp_up_gate_all_blocks,,6.0,3,1.530339024235577,1.8252370314493624,0.9046520769748252,1.4474433231597204,3,0,3,2
group_x_bit,mlp_up_gate_all_blocks,,8.0,3,1.0515190084155814,1.0191758455008315,1.3807752001225433,2.209240320196069,2,1,3,2
group_x_bit,output_conditioning_projection,,4.0,3,0.0997623546969838,-0.3846845877970475,1.461667111483359,2.3386673783733745,2,1,3,2
group_x_bit,output_conditioning_projection,,6.0,3,-0.0271831445487162,-0.13277580132530495,0.6249800717156531,0.999968114745045,1,2,3,1
group_x_bit,output_conditioning_projection,,8.0,3,0.3302210922400948,0.46101429784205966,0.5822714213533692,0.9316342741653907,2,1,3,0
group_x_bit,output_head_projection,,4.0,3,0.40439770375514195,0.44005266325272513,0.4531051862086306,0.724968297933809,3,0,3,2
group_x_bit,output_head_projection,,6.0,3,-0.3756967037321814,-0.5710362053414967,0.7312126738388214,1.1699402781421142,1,2,3,2
group_x_bit,output_head_projection,,8.0,3,0.3154296596592976,0.5365885288170223,0.6502355895707675,1.0403769433132282,2,1,3,2
group_x_bit,qkv_all_blocks,,4.0,3,1.0441481414843647,1.3474419045108028,0.9229623559368998,1.4767397694990394,3,0,3,3
group_x_bit,qkv_all_blocks,,6.0,3,2.0079448014362224,2.4386883669342825,1.3452472281726688,2.1523955650762705,3,0,3,3
group_x_bit,qkv_all_blocks,,8.0,3,0.729176877871048,1.027948655006749,0.531080454030258,0.8497287264484127,3,0,3,2
stage_x_bit,,10.0,4.0,9,2.4220511419609214,2.268683539127837,2.0790457088554213,3.1259272358153316,9,0,9,7
stage_x_bit,,10.0,6.0,9,2.87733811203108,2.2978996892863655,2.0993838530238245,3.3756630291006733,8,1,9,6
stage_x_bit,,10.0,8.0,9,2.1057891214822253,1.8629475295927473,1.4745932743171233,2.4005956665183064,9,0,9,5
stage_x_bit,,15.0,4.0,9,1.4967159930571399,1.0153557174966255,1.5187605658634307,1.6257379821429112,9,0,9,4
stage_x_bit,,15.0,6.0,9,1.3257436093373414,0.9851685002868797,1.46783230654291,1.6402278185279393,7,2,9,1
stage_x_bit,,15.0,8.0,9,0.7223376522611079,0.5581366218427816,1.0105557643069194,1.0999905828840655,6,3,9,0
stage_x_bit,,4.0,4.0,9,0.5035785198018933,0.3758440983021728,0.6766159581270266,2.2243493101057634,7,2,9,8
stage_x_bit,,4.0,6.0,9,1.1287244153745106,0.9179090931389031,1.6736570644628694,2.9764407697534545,7,2,9,8
stage_x_bit,,4.0,8.0,9,0.3302210922400948,0.35390766383928285,0.6984685038995152,1.4739270032702527,6,3,9,8
