estimator,target_kind,metric,class_id,value
median,scheduler64,abs_full_minus_scalar,123,-0.02588693804130954
median,scheduler64,abs_full_minus_scalar,206,-0.04358641508891407
median,scheduler64,abs_full_minus_scalar,325,-0.03657094616267323
median,scheduler64,abs_full_minus_scalar,408,-0.06195777732092252
median,scheduler64,abs_full_minus_scalar,569,-0.04824463597683696
median,scheduler64,abs_full_minus_scalar,701,-0.05987681388731819
median,scheduler64,abs_full_minus_scalar,789,-0.031186366466690946
median,scheduler64,abs_full_minus_scalar,887,-0.06389194969699222
median,scheduler64,abs_full_minus_noJ,123,-1.4656141961879978
median,scheduler64,abs_full_minus_noJ,206,-1.3388119200301551
median,scheduler64,abs_full_minus_noJ,325,-1.4217693307052082
median,scheduler64,abs_full_minus_noJ,408,-1.4034062052300535
median,scheduler64,abs_full_minus_noJ,569,-1.4606219252888806
median,scheduler64,abs_full_minus_noJ,701,-1.4299482837976136
median,scheduler64,abs_full_minus_noJ,789,-1.3825999841573726
median,scheduler64,abs_full_minus_noJ,887,-1.5396026439344304
median,scheduler64,abs_scalar_minus_noJ,123,-1.4367926664786248
median,scheduler64,abs_scalar_minus_noJ,206,-1.3214709994947924
median,scheduler64,abs_scalar_minus_noJ,325,-1.3555910204471964
median,scheduler64,abs_scalar_minus_noJ,408,-1.358419256915729
median,scheduler64,abs_scalar_minus_noJ,569,-1.4164616167934458
median,scheduler64,abs_scalar_minus_noJ,701,-1.3612633697580394
median,scheduler64,abs_scalar_minus_noJ,789,-1.313399599286377
median,scheduler64,abs_scalar_minus_noJ,887,-1.488399695163966
