class_id,seed,group,event_stage,probe_stage,family,alpha,relative_derivative_drift,direction_cosine,odd_curvature,component_robust_error,richardson_diagnostic_disagreement,legacy_L_pass,C_pass,D_source_ratio_within_reference,application_certified,R_pass,N_pass
123,108,qkv_all_blocks,10,11,actual_local,0.03125,0.0010605319691985092,0.999999437642495,0.000848161400640588,0.0006319046116435593,0.002747253604152215,True,True,True,False,True,True
123,108,qkv_all_blocks,10,11,accumulated,0.0078125,0.0012841854648095008,0.9999991755421999,0.0018636831056944015,0.0008153375714800743,0.0018024226905514556,True,True,True,False,True,True
123,108,qkv_all_blocks,10,11,accumulated,0.015625,0.0,1.0,0.0010189934748318457,0.0,0.0018024226905514556,True,True,True,False,True,True
123,108,qkv_all_blocks,10,11,accumulated,0.03125,0.0006605913946088292,0.9999997818374311,0.0005778667940209036,0.000434846704789373,0.0018024226905514556,True,True,True,False,True,True
123,108,qkv_all_blocks,10,11,donor,0.0078125,0.0020026151356263735,0.999997994945633,0.002929854351531967,0.0012161632890061945,0.0028019584978307413,True,True,True,False,True,True
123,108,qkv_all_blocks,10,11,donor,0.015625,0.0,1.0,0.0014979933874528987,0.0,0.0028019584978307413,True,True,True,False,True,True
123,108,qkv_all_blocks,10,11,donor,0.03125,0.0010217695379074858,0.9999994780966448,0.0008247807687519756,0.0006306031868921008,0.0028019584978307413,True,True,True,False,True,True
123,108,qkv_all_blocks,10,11,isotropic,0.0078125,0.0019075139324650798,0.9999981811380472,0.0028973797875258707,0.0011565219559802294,0.0026748205503828995,True,True,True,False,True,True
123,108,qkv_all_blocks,10,11,isotropic,0.015625,0.0,1.0,0.0015379942018039655,0.0,0.0026748205503828995,True,True,True,False,True,True
123,108,qkv_all_blocks,10,11,isotropic,0.03125,0.0010204304021702694,0.9999994795504727,0.0008033330892487167,0.0006287886362610956,0.0026748205503828995,True,True,True,False,True,True
123,108,qkv_all_blocks,15,16,actual_local,0.0078125,0.002933122514691445,0.9999957054779011,0.004207801305983957,0.001768560411070887,0.004115070060418335,True,True,True,False,True,True
123,108,qkv_all_blocks,15,16,actual_local,0.015625,0.0,0.9999999999999999,0.0022217601978003214,0.0,0.004115070060418335,True,True,True,False,True,True
123,108,qkv_all_blocks,15,16,actual_local,0.03125,0.0014487503183567359,0.9999989547169411,0.001483882529104937,0.0008700685593750525,0.004115070060418335,True,True,True,False,True,True
123,108,qkv_all_blocks,15,16,accumulated,0.0078125,0.0016431840035865104,0.9999986510468669,0.0025433480134328767,0.0009535181854850586,0.002319609022483096,True,True,True,False,True,True
123,108,qkv_all_blocks,15,16,accumulated,0.015625,0.0,1.0,0.0022432782433733783,0.0,0.002319609022483096,True,True,True,False,True,True
