family,class_id,metric,value,expected_specs,defined_specs
isotropic,789,R_J,0.36835035855049214,9,9
isotropic,789,err_noJ,0.010003226352265547,9,9
isotropic,789,err_scalar,0.002098555817408155,9,9
isotropic,789,err_full,7.355128665681334e-06,9,9
isotropic,789,normalized_error_noJ,0.36837710907694743,9,9
isotropic,789,normalized_error_scalar,0.14391989773138386,9,9
isotropic,789,normalized_error_full,0.0016760570910980478,9,9
isotropic,789,relative_improvement_full_vs_noJ,0.9954209678052516,9,9
isotropic,887,R_J,0.3303160648157079,9,9
isotropic,887,err_noJ,0.009666070386890612,9,9
isotropic,887,err_scalar,0.0016726010320742095,9,9
isotropic,887,err_full,6.7996283449612405e-06,9,9
isotropic,887,normalized_error_noJ,0.33033260482548005,9,9
isotropic,887,normalized_error_scalar,0.1092436421204078,9,9
isotropic,887,normalized_error_full,0.001810396373491586,9,9
isotropic,887,relative_improvement_full_vs_noJ,0.9943482997026213,9,9
